r,l,t
9878.666629970074,546,8175.721022367477
4158.51601010561,329,8179.538701057434
4140.493249833584,323,8183.283310890198
9889.499991357327,498,8189.018107891083
9862.055526316166,621,8196.159889698029
9876.611109554768,556,8203.609688997269
9868.166632294655,594,8210.513790130615
3741.1467074751854,301,8214.030622720718
9681.555548727512,1433,8230.536907672882
9828.055558681488,774,8239.414426088333
9888.277731060982,503,8246.180282831192
9877.055514156818,554,8252.542347669601
644.0767295360565,74,8253.433279275894
3738.301014125347,328,8257.203802585602
9894.999960124493,473,8262.633698940277
9155.777769744396,3799,8306.932710886002
9763.833343565464,1063,8319.087346315384
3629.215841114521,296,8322.518152952194
4165.15598398447,342,8326.475105762482
649.7681248188019,73,8327.344839572906
3746.8381078243256,270,8330.447767734528
4159.464576840401,321,8334.129724025726
9868.055540204048,594,8341.904322624207
3747.786676824093,313,8345.545975923538
9856.833343803883,645,8352.968186616898
3646.290044605732,294,8356.407153129578
9852.388857245445,665,8364.039985179901
3741.1467024683952,349,8368.041960477829
9416.888891994953,2624,8398.962803602219
9368.888883769512,2840,8433.73203253746
8080.838946282864,618,8443.866112947464
9873.277774691582,571,8450.484486818314
642.1795955896378,74,8451.461297273636
9881.999989449978,531,8457.682268857956
9880.166624069214,540,8463.984377145767
9854.611068665981,655,8471.565144777298
9863.722227275372,614,8478.646756649017
9213.611077666283,3539,8520.057404518127
9829.611069500446,767,8529.201717615128
9887.277739942074,508,8535.141976118088
4239.144179344177,361,8540.28713297844
9877.38885128498,552,8546.746180057526
9819.77778851986,811,8556.177149057388
9533.555519938469,2099,8580.30719923973
9872.444416761398,574,8588.125244379044
9879.166643500328,544,8594.448397874832
9884.055520296097,522,8600.47303366661
5660.096947491169,4500,8653.136485099792
9877.333302736282,552,8659.478396654129
3633.958687245846,292,8662.852182388306
9831.555537223816,758,8671.545746088028
9888.666656374931,501,8677.338934659958
3743.0438462495804,338,8681.237367391586
9848.277765929699,683,8690.14442896843
3742.095274746418,276,8693.386778354645
9878.944401144981,545,8699.696360349655
4349.177906632423,367,8703.93020606041
4256.218374550343,311,8707.537197828293
9887.777741968632,505,8713.383075475693
9884.111050069332,522,8719.440045833588
4242.9384479522705,365,8723.706790208817
9862.722205340862,618,8731.755539417267
9876.16663724184,558,8742.68713593483
9864.888915598392,608,8749.715381383896
9885.499960184097,516,8755.687810182571
4244.835576057434,293,8759.086774110794
9886.499957501888,511,8765.004090309143
4252.424103081226,322,8768.769176483154
9836.277713119984,737,8777.384338378906
9880.94439381361,536,8784.533385276794
9738.83332836628,1176,8798.14291214943
9854.33330154419,656,8805.743067741394
9892.999993264675,482,8811.361322402954
9879.611107170582,542,8817.640121221542
9887.66663312912,506,8823.491456270218
9882.166657924652,531,8829.671597480774
9837.277734398842,733,8839.126913309097
9884.444441318512,520,8845.24851679802
9892.333295762539,485,8850.889914035797
3652.9300175905228,376,8855.3222386837
9872.333286881447,575,8862.196262836456
4241.041308999062,344,8866.224284648895
9855.666635990143,650,8873.730565071106
3749.6838081479073,270,8876.86614060402
9883.444390237331,525,8883.897524356842
9869.555518984795,587,8890.710610628128
4248.629842042923,388,8895.184174776077
3734.5067408680916,295,8898.629327058792
9889.888867139816,496,8904.33999490738
9887.000004410744,509,8910.200765609741
9875.16662055254,562,8916.720730781555
9890.111088514328,495,8922.407778263092
9893.27775323391,481,8927.932181358337
9878.555559039116,547,8935.222954034805
3648.18718200922,344,8939.221370458603
643.1281641721725,73,8940.096180915833
9895.833319485188,469,8945.472899198532
9777.22223520279,1003,8956.920440196991
8075.147540867329,632,8964.210195302963
9888.388859450817,503,8970.014709472656
9363.27773988247,2866,9003.832020759583
9640.94441741705,1616,9023.25174498558
9884.166647911072,522,9030.644170045853
9884.66665816307,519,9036.708333969116
9829.333292663097,768,9045.775087594986
2214.9030272960663,206,9048.221331119537
